# timestamp tx ty tz qx qy qz qw
1403636580.863555670 -3.4181800 0.2907511 -0.2675814 0.8417536 0.0310194 -0.4863513 0.2322740
1403636580.913555384 -3.4263467 0.2792861 -0.2463864 0.8374819 0.0303305 -0.4896758 0.2406693
1403636580.963555574 -3.4380260 0.2994703 -0.2089093 0.8331945 0.0300728 -0.4944016 0.2458651
1403636581.013555527 -3.4208823 0.3038748 -0.1712332 0.8292418 0.0305535 -0.4994365 0.2489732
1403636581.063555479 -3.4431000 0.3014916 -0.1500806 0.8255255 0.0300409 -0.5050090 0.2501422
1403636581.113555431 -3.4339946 0.2843621 -0.1257180 0.8218566 0.0286028 -0.5100752 0.2521048
1403636581.163555622 -3.4311474 0.2656221 -0.1051813 0.8175535 0.0253469 -0.5164696 0.2534223
1403636581.213555574 -3.4443656 0.2671449 -0.0764648 0.8130021 0.0230159 -0.5227887 0.2553229
1403636581.263555527 -3.4360709 0.2884273 -0.0665191 0.8079819 0.0203900 -0.5299226 0.2567714
1403636581.313555479 -3.4469461 0.2739664 -0.0493832 0.8034733 0.0207300 -0.5354726 0.2593647
1403636581.363555670 -3.4245623 0.2831556 -0.0389083 0.8003714 0.0200791 -0.5391257 0.2614307
1403636581.413555384 -3.4440695 0.2425494 -0.0352430 0.7995241 0.0206911 -0.5387357 0.2647582
1403636581.463555574 -3.4250704 0.2672712 -0.0432323 0.8007950 0.0223799 -0.5358991 0.2665309
1403636581.513555527 -3.4125477 0.2626215 -0.0605379 0.8037583 0.0240950 -0.5310059 0.2672539
1403636581.563555479 -3.4525422 0.2466312 -0.0737156 0.8075036 0.0230973 -0.5264220 0.2651118
1403636581.613555431 -3.4440760 0.2596178 -0.0958320 0.8113623 0.0231147 -0.5221877 0.2616811
1403636581.663555622 -3.4448367 0.2718049 -0.1247162 0.8143703 0.0219371 -0.5191968 0.2583687
1403636581.713555574 -3.4488185 0.2533392 -0.1469093 0.8163083 0.0239157 -0.5163784 0.2577251
1403636581.763555527 -3.4538538 0.2743620 -0.1753628 0.8173721 0.0233540 -0.5159886 0.2551729
1403636581.813555479 -3.4401933 0.2666513 -0.1903796 0.8182249 0.0252092 -0.5158929 0.2524420
1403636581.863555670 -3.4440215 0.2692492 -0.2175054 0.8195503 0.0254690 -0.5147248 0.2504934
1403636581.913555384 -3.4357638 0.2635580 -0.2433809 0.8223440 0.0249424 -0.5122279 0.2464767
1403636581.963555574 -3.4347503 0.2877620 -0.2816044 0.8262183 0.0231319 -0.5066610 0.2451995
1403636582.013555527 -3.4426552 0.2658538 -0.2862159 0.8307950 0.0212993 -0.5002058 0.2431463
1403636582.063555479 -3.4397568 0.2591324 -0.3058214 0.8355521 0.0211634 -0.4928987 0.2417762
1403636582.113555431 -3.4491986 0.2709633 -0.3360777 0.8401446 0.0225823 -0.4862811 0.2391186
1403636582.163555622 -3.4320006 0.2490243 -0.3418514 0.8440132 0.0235755 -0.4814779 0.2350850
1403636582.213555574 -3.4741208 0.2772600 -0.3519793 0.8470357 0.0253791 -0.4774950 0.2321312
1403636582.263555527 -3.4346556 0.2562409 -0.3423541 0.8488927 0.0263519 -0.4750150 0.2303204
1403636582.313555479 -3.4280025 0.2691684 -0.3379957 0.8494407 0.0272179 -0.4747035 0.2288368
1403636582.363555670 -3.4299027 0.2551324 -0.3161723 0.8481228 0.0269927 -0.4772347 0.2284865
1403636582.413555384 -3.4421200 0.2654699 -0.3105726 0.8447154 0.0267862 -0.4823982 0.2302831
1403636582.463555574 -3.4290497 0.2669573 -0.2856616 0.8405746 0.0258418 -0.4885086 0.2326499
1403636582.513555527 -3.4224368 0.2407907 -0.2462735 0.8369246 0.0262038 -0.4926964 0.2368984
1403636582.563555479 -3.4193495 0.2501621 -0.2383840 0.8341571 0.0250839 -0.4958939 0.2400875
1403636582.613555431 -3.4402623 0.2671509 -0.1978489 0.8323543 0.0249641 -0.4968036 0.2444365
1403636582.663555622 -3.4128819 0.2592519 -0.1817320 0.8310385 0.0233077 -0.4976541 0.2473303
1403636582.713555574 -3.4176857 0.2417884 -0.1582190 0.8297573 0.0219180 -0.4991938 0.2486522
1403636582.763555527 -3.4043122 0.2596156 -0.1299047 0.8279556 0.0188874 -0.5014794 0.2503023
1403636582.813555479 -3.3970036 0.2626415 -0.1038945 0.8253726 0.0145885 -0.5045645 0.2529069
1403636582.863555670 -3.4090111 0.2505751 -0.0845723 0.8217054 0.0095451 -0.5085089 0.2571535
1403636582.913555384 -3.4168660 0.2812453 -0.0616191 0.8171313 0.0050558 -0.5140974 0.2607197
1403636582.963555574 -3.4264552 0.2671657 -0.0348151 0.8121839 0.0031953 -0.5199378 0.2645975
1403636583.013555527 -3.4164362 0.2696753 -0.0168933 0.8073137 0.0012930 -0.5255609 0.2683817
1403636583.063555479 -3.4280044 0.2711759 -0.0171846 0.8040939 0.0019887 -0.5292790 0.2707265
1403636583.113555431 -3.4277702 0.2468730 -0.0105589 0.8026702 0.0020987 -0.5304273 0.2726958
1403636583.163555622 -3.4581966 0.2665779 -0.0176527 0.8025023 0.0026676 -0.5292878 0.2753859
1403636583.213555574 -3.4572565 0.2613326 -0.0194710 0.8031394 0.0039966 -0.5277399 0.2764811
1403636583.263555527 -3.4424146 0.2596359 -0.0458891 0.8042333 0.0052138 -0.5264621 0.2757159
1403636583.313555479 -3.4471024 0.2812843 -0.0623812 0.8054763 0.0058331 -0.5252724 0.2743408
